"previous_SSID , next_SSID",History_SessionTime
"('new-ssid-7', 'new-ssid-8')","{'time': 611, 'session_time': 33}"
"('new-ssid-7', 'new-ssid-8')","{'time': 718, 'session_time': 37}"
"('new-ssid-7', 'new-ssid-8')","{'time': 1147, 'session_time': 33}"
"('new-ssid-8', 'new-ssid-4')","{'time': 644, 'session_time': 17}"
"('new-ssid-8', 'new-ssid-4')","{'time': 895, 'session_time': 9}"
"('new-ssid-8', 'new-ssid-5')","{'time': 1161, 'session_time': 14}"
"('new-ssid-8', 'new-ssid-7')","{'time': 128, 'session_time': 35}"
"('new-ssid-8', 'new-ssid-7')","{'time': 578, 'session_time': 9}"
"('new-ssid-8', 'new-ssid-7')","{'time': 644, 'session_time': 33}"
"('new-ssid-8', 'new-ssid-9')","{'time': 747, 'session_time': 29}"
"('new-ssid-9', 'new-ssid-1')","{'time': 506, 'session_time': 1}"
"('new-ssid-9', 'new-ssid-2')","{'time': 246, 'session_time': 1}"
"('new-ssid-9', 'new-ssid-2')","{'time': 1226, 'session_time': 1}"
"('new-ssid-9', 'new-ssid-2')","{'time': 2036, 'session_time': 1}"
"('new-ssid-9', 'new-ssid-3')","{'time': 2191, 'session_time': 1}"
"('new-ssid-9', 'new-ssid-4')","{'time': 896, 'session_time': 1}"
"('new-ssid-9', 'new-ssid-5')","{'time': 455, 'session_time': 35}"
"('new-ssid-9', 'new-ssid-5')","{'time': 456, 'session_time': 1}"
"('new-ssid-9', 'new-ssid-5')","{'time': 547, 'session_time': 26}"
"('new-ssid-9', 'new-ssid-5')","{'time': 796, 'session_time': 1}"
"('new-ssid-9', 'new-ssid-5')","{'time': 1028, 'session_time': 281}"
"('new-ssid-9', 'new-ssid-6')","{'time': 411, 'session_time': 1}"
"('new-ssid-9', 'new-ssid-6')","{'time': 486, 'session_time': 1}"
"('new-ssid-9', 'new-ssid-6')","{'time': 513, 'session_time': 24}"
"('new-ssid-9', 'new-ssid-6')","{'time': 1051, 'session_time': 31}"
"('new-ssid-9', 'new-ssid-8')","{'time': 93, 'session_time': 7}"
"('new-ssid-9', 'new-ssid-8')","{'time': 627, 'session_time': 15}"
"('new-ssid-9', 'new-ssid-8')","{'time': 886, 'session_time': 26}"
"(<OVSAP rsu7: lo:127.0.0.1,rsu7-wlan1:None,rsu7-eth2:None pid=19246> , 'new-ssid-7')","{'time': 11, 'session_time': 1}"
"(<OVSAP rsu8: lo:127.0.0.1,rsu8-wlan1:None,rsu8-eth2:None pid=19249> , 'new-ssid-9')","{'time': 86, 'session_time': 1}"
